cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_key,tkn1_key,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange,pool_type,tkn0_weight,tkn1_weight,tkn2_key,tkn2_address,tkn2_decimals,tkn2_symbol,tkn2_balance,tkn2_weight,tkn3_key,tkn3_address,tkn3_decimals,tkn3_symbol,tkn3_balance,tkn3_weight,tkn4_key,tkn4_address,tkn4_decimals,tkn4_symbol,tkn4_balance,tkn4_weight,tkn5_key,tkn5_address,tkn5_decimals,tkn5_symbol,tkn5_balance,tkn5_weight,tkn6_key,tkn6_address,tkn6_decimals,tkn6_symbol,tkn6_balance,tkn6_weight,tkn7_key,tkn7_address,tkn7_decimals,tkn7_symbol,tkn7_balance,tkn7_weight
,,0,balancer RDNT-AaA0/WETH-Bab1 0.005,RDNT-AaA0/WETH-Bab1,balancer,5000000000000000.0,0.005,0x32dF62dc3aEd2cD6224193052Ce665DC18165841,0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,0x3082CC23568eA640225c2467653dB90e9250AaA0,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,RDNT-AaA0,WETH-Bab1,18,18,7,RDNT,WETH,0,0,0,0,0,0,0,balancer,Weighted,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer BAL-56B8/AURA-213B/ARB-6548 0.01,BAL-56B8/AURA-213B/ARB-6548,balancer,1e+16,0.01,0xbcaA6c053cab3Dd73a2E898d89A4f84a180ae1CA,0xbcaa6c053cab3dd73a2e898d89a4f84a180ae1ca000100000000000000000458,0x040d1EdC9569d4Bab2D15287Dc5A4F10F56a56B8,0x1509706a6c66CA549ff0cB464de88231DDBe213B,BAL-56B8,AURA-213B,18,18,7,BAL,AURA,0,0,0,0,0,0,0,balancer,Weighted,0.333333333333333333,0.333333333333333333,ARB-6548,0x912CE59144191C1204E64559FE8253a0e49E6548,18.0,ARB,0.0,0.333333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer tBTC-dE40/WETH-Bab1 0.003,tBTC-dE40/WETH-Bab1,balancer,3000000000000000.0,0.003,0xc9f52540976385A84BF416903e1Ca3983c539E34,0xc9f52540976385a84bf416903e1ca3983c539e34000200000000000000000434,0x6c84a8f1c29108F47a79964b5Fe888D4f4D0dE40,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,tBTC-dE40,WETH-Bab1,18,18,7,tBTC,WETH,0,0,0,0,0,0,0,balancer,Weighted,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer MAGIC-0342/USDC-5CC8 0.003,MAGIC-0342/USDC-5CC8,balancer,3000000000000000.0,0.003,0xb3028Ca124B80CFE6E9CA57B70eF2F0CCC41eBd4,0xb3028ca124b80cfe6e9ca57b70ef2f0ccc41ebd40002000000000000000000ba,0x539bdE0d7Dbd336b79148AA742883198BBF60342,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,MAGIC-0342,USDC-5CC8,18,6,7,MAGIC,USDC,0,0,0,0,0,0,0,balancer,Weighted,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer STG-1eb6/USDC-5CC8 0.003,STG-1eb6/USDC-5CC8,balancer,3000000000000000.0,0.003,0x3a4c6D2404b5eb14915041e01F63200a82f4a343,0x3a4c6d2404b5eb14915041e01f63200a82f4a343000200000000000000000065,0x6694340fc020c5E6B96567843da2df01b2CE1eb6,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,STG-1eb6,USDC-5CC8,18,6,7,STG,USDC,0,0,0,0,0,0,0,balancer,Weighted,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer WBTC-5B0f/WETH-Bab1/USDC-5CC8 0.0025,WBTC-5B0f/WETH-Bab1/USDC-5CC8,balancer,2500000000000000.0,0.0025,0x64541216bAFFFEec8ea535BB71Fbc927831d0595,0x64541216bafffeec8ea535bb71fbc927831d0595000100000000000000000002,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,WBTC-5B0f,WETH-Bab1,8,18,7,WBTC,WETH,0,0,0,0,0,0,0,balancer,Weighted,0.333333333333333333,0.333333333333333334,USDC-5CC8,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,6.0,USDC,0.0,0.333333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer Y2K-977f/WETH-Bab1 0.003,Y2K-977f/WETH-Bab1,balancer,3000000000000000.0,0.003,0x569061E2D807881F4A33E1cbE1063bc614cB75a4,0x569061e2d807881f4a33e1cbe1063bc614cb75a40002000000000000000002bb,0x65c936f008BC34fE819bce9Fa5afD9dc2d49977f,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,Y2K-977f,WETH-Bab1,18,18,7,Y2K,WETH,0,0,0,0,0,0,0,balancer,Weighted,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer auraBAL-54cE/wstETH-0529 0.01,auraBAL-54cE/wstETH-0529,balancer,1e+16,0.01,0xc7FA3A3527435720f0e2a4c1378335324dd4F9b3,0xc7fa3a3527435720f0e2a4c1378335324dd4f9b3000200000000000000000459,0x223738a747383d6F9f827d95964e4d8E8AC754cE,0x5979D7b546E38E414F7E9822514be443A4800529,auraBAL-54cE,wstETH-0529,18,18,7,auraBAL,wstETH,0,0,0,0,0,0,0,balancer,Weighted,0.55,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer GRAIN-C3A1/WETH-Bab1/OATH-378b/USDC-5CC8 0.02,GRAIN-C3A1/WETH-Bab1/OATH-378b/USDC-5CC8,balancer,2e+16,0.02,0xD449Efa0A587f2cb6BE3AE577Bc167a774525810,0xd449efa0a587f2cb6be3ae577bc167a7745258100001000000000000000003f4,0x80bB30D62a16e1F2084dEAE84dc293531c3AC3A1,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,GRAIN-C3A1,WETH-Bab1,18,18,7,GRAIN,WETH,0,0,0,0,0,0,0,balancer,Weighted,0.35,0.15,OATH-378b,0xa1150db5105987CEC5Fd092273d1e3cbb22b378b,18.0,OATH,0.0,0.35,USDC-5CC8,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,6.0,USDC,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer WETH-Bab1/VSTA-2d24 0.01,WETH-Bab1/VSTA-2d24,balancer,1e+16,0.01,0xC61ff48f94D801c1ceFaCE0289085197B5ec44F0,0xc61ff48f94d801c1ceface0289085197b5ec44f000020000000000000000004d,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xa684cd057951541187f288294a1e1C2646aA2d24,WETH-Bab1,VSTA-2d24,18,18,7,WETH,VSTA,0,0,0,0,0,0,0,balancer,Weighted,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer BAL-56B8/WETH-Bab1 0.0025,BAL-56B8/WETH-Bab1,balancer,2500000000000000.0,0.0025,0xcC65A812ce382aB909a11E434dbf75B34f1cc59D,0xcc65a812ce382ab909a11e434dbf75b34f1cc59d000200000000000000000001,0x040d1EdC9569d4Bab2D15287Dc5A4F10F56a56B8,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,BAL-56B8,WETH-Bab1,18,18,7,BAL,WETH,0,0,0,0,0,0,0,balancer,Weighted,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer fxUSD-cE3F/FOREX-259B 0.003,fxUSD-cE3F/FOREX-259B,balancer,3000000000000000.0,0.003,0x4f14D06CB1661cE1DC2A2f26A10A7Cd94393b29C,0x4f14d06cb1661ce1dc2a2f26a10a7cd94393b29c000200000000000000000097,0x8616E8EA83f048ab9A5eC513c9412Dd2993bcE3F,0xDb298285FE4C5410B05390cA80e8Fbe9DE1F259B,fxUSD-cE3F,FOREX-259B,18,18,7,fxUSD,FOREX,0,0,0,0,0,0,0,balancer,Weighted,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer WBTC-5B0f/wstETH-0529 0.0029,WBTC-5B0f/wstETH-0529,balancer,2900000000000000.0,0.0029,0xB5bd58C733948e3d65d86BA9604e06e5dA276FD1,0xb5bd58c733948e3d65d86ba9604e06e5da276fd10002000000000000000003e6,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,0x5979D7b546E38E414F7E9822514be443A4800529,WBTC-5B0f,wstETH-0529,8,18,7,WBTC,wstETH,0,0,0,0,0,0,0,balancer,Weighted,0.87,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer PAL-b798/OHM-7028 0.01,PAL-b798/OHM-7028,balancer,1e+16,0.01,0x8d333f82e0693f53fA48c40d5D4547142E907e1D,0x8d333f82e0693f53fa48c40d5d4547142e907e1d000200000000000000000437,0xa7997F0eC9fa54E89659229fB26537B6A725b798,0xf0cb2dc0db5e6c66B9a70Ac27B06b878da017028,PAL-b798,OHM-7028,18,9,7,PAL,OHM,0,0,0,0,0,0,0,balancer,Weighted,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer WETH-Bab1/BICO-e74d 0.005,WETH-Bab1/BICO-e74d,balancer,5000000000000000.0,0.005,0x3CaFF0E4eF5aB37081503AcA2C65e859Aa026AB5,0x3caff0e4ef5ab37081503aca2c65e859aa026ab50002000000000000000000b7,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xa68Ec98D7ca870cF1Dd0b00EBbb7c4bF60A8e74d,WETH-Bab1,BICO-e74d,18,18,7,WETH,BICO,0,0,0,0,0,0,0,balancer,Weighted,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer WETH-Bab1/PICKLE-5B1A 0.0025,WETH-Bab1/PICKLE-5B1A,balancer,2500000000000000.0,0.0025,0xc2F082d33b5B8eF3A7E3de30da54EFd3114512aC,0xc2f082d33b5b8ef3a7e3de30da54efd3114512ac000200000000000000000017,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x965772e0E9c84b6f359c8597C891108DcF1c5B1A,WETH-Bab1,PICKLE-5B1A,18,18,7,WETH,PICKLE,0,0,0,0,0,0,0,balancer,Weighted,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer wstETH-0529/USDC-5CC8 0.0001,wstETH-0529/USDC-5CC8,balancer,100000000000000.0,0.0001,0x178E029173417b1F9C8bC16DCeC6f697bC323746,0x178e029173417b1f9c8bc16dcec6f697bc323746000200000000000000000158,0x5979D7b546E38E414F7E9822514be443A4800529,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,wstETH-0529,USDC-5CC8,18,6,7,wstETH,USDC,0,0,0,0,0,0,0,balancer,Weighted,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,balancer wstETH-0529/BETS-E6e5 0.01,wstETH-0529/BETS-E6e5,balancer,1e+16,0.01,0x76b9Cbd55FD6776c2de18738A04b0f9da56Ce6cA,0x76b9cbd55fd6776c2de18738a04b0f9da56ce6ca00020000000000000000048d,0x5979D7b546E38E414F7E9822514be443A4800529,0x94025780a1aB58868D9B2dBBB775f44b32e8E6e5,wstETH-0529,BETS-E6e5,18,18,7,wstETH,BETS,0,0,0,0,0,0,0,balancer,Weighted,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
