,token_address,pool_address
0,0x3aAB2285ddcDdaD8edf438C1bAB47e1a9D05a9b4,0x101c6e1e717f13fb351C0B51FFaa8839034F474D
1,0xA219439258ca9da29E9Cc4cE5596924745e12B93,0xB694ce4c96fb60DB5ad8b25dfF567c59f7a49a4E
2,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,0xabBe925Cf6913A5af177Fb735dd817b02da0883f
3,0x4AF15ec2A0BD43Db75dd04E62FAA3B8EF36b00d5,0x2c8852Fa100f712341Ce2213bc02456C077Bf263
4,0x99AD925C1Dc14Ac7cc6ca1244eeF8043C74E99d5,0xf9365008401f0dC5477bdb80A59a5B0EB850332A
5,0xd2bc272EA0154A93bf00191c8a1DB23E67643EC5,0xe6E03246cb57415a3978199612C0f2A6C7AE7e15
6,0x8C56017B172226fE024dEa197748FC1eaccC82B1,0xb477d53aad75E1DF767C09507DAB2aD98C506A24
7,0xe322E20738386766F769b0a6083f4141083d26d0,0xF8Bc6D80320049494BB7Da57289b445bDF61BA39
8,0x2442Bd7AE83b51F6664De408A385375fe4a84F52,0x122eeA08C5709004D5994bDF817eB72caf2a7701
9,0xe516a5CFf996cc399EFBb48355FD5Ab83438E7a9,0x9dbFb1294A65A627727A996792324dEB494Fe469
10,0x0A79e44c99505c7f388CA30c787ff97217E73ecC,0x822381b9cd4df63C2d54d7871674C1b5d13e3962
11,0x9D36f49D3d42B3A9BcC0f5Ac76fF8ef78fB2bC01,0xaa5Ea279Fe54fB8ff0FdE6f5073cdb2A77F8fFB6
12,0x1578f35532FA091EcED8638730F9dB829930ce16,0x65a68da6E532B6Ccb29b6F61aFd792B6672864C1
13,0x93F4d0ab6a8B4271f4a28Db399b5E30612D21116,0x9A8AEB02b90b67e23469bb01eCAB86F3512A77f8
14,0xB5beDd42000b71FddE22D3eE8a79Bd49A568fC8F,0xBDb4b1aBb18CC982206155d852aFc400ba47136b
15,0x1E1F509963A6D33e169D9497b11c7DbFe73B7F13,0xc25A92d948990CaBa6e9C0fbe1402a481a77AdfF
16,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,0x9140A1f3f3112a4cEeDa15c7D07d61fC1b6A5061
17,0x60D01EC2D5E98Ac51C8B4cF84DfCCE98D527c747,0x0Ab89ed59d510d64FD3f44e973e13A7909dA3BA7
18,0x6EF95B6f3b0F39508e3E04054Be96D5eE39eDE0d,0x497d4cBeA7E45C5f2D4146D90e67eBAaee4f8084
19,0xe7DC30E9Bc08A1Dd1a2909D0f0e1Af4539398F01,0xa076804861a21dD0ba2ea82C776F1AeFa9d12e57
