,token0,amt0,token0address,token1,amt1,token1address,num_strats
0,DAI,0,0x6B175474E89094C44Da98b954EedeAC495271d0F,ETH,1,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,1
1,STETH,3,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,ETH,1971,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,3
2,USDC,50544,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,554,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,5
3,DAI,13932,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,20,0x6B175474E89094C44Da98b954EedeAC495271d0F,3
4,USDC,11519,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,ETH,42856,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,17
5,DAI,19,0x6B175474E89094C44Da98b954EedeAC495271d0F,USDT,19,0xdAC17F958D2ee523a2206206994597C13D831ec7,2
6,BNT,12,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,0,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,1
7,USDT,8,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,ETH,0,0xdAC17F958D2ee523a2206206994597C13D831ec7,2
8,RETH,0,,ETH,0,,0
9,PEPE,0,,USDC,0,,0
10,BNT,4253,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,ETH,497,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,9
11,WBTC,773,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,USDC,491,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,2
12,BNT,325,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,VBNT,18343,0x48Fb253446873234F2fEBbF9BdeAA72d9d387f94,9
13,LINK,255,0x514910771AF9Ca656af840dff83E8264EcF986CA,USDT,0,0xdAC17F958D2ee523a2206206994597C13D831ec7,2
14,VBNT,1679,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,0,0x48Fb253446873234F2fEBbF9BdeAA72d9d387f94,1
15,OHM,0,,USDC,0,,0
16,XCHF,1393,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,RPL,0,0xB4272071eCAdd69d933AdcD19cA99fe80664fc08,1
17,MATIC,178,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,ARB,15,0xB50721BCf8d664c30412Cfbc6cf7a15145234ad1,2
18,USDC,0,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,TSUKA,5074,0xc5fB36dd2fb59d3B98dEfF88425a3F425Ee469eD,1
19,LBR,0,0xC98835e792553e505AE46e73a6fD27a23985aCcA,ETH,913,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,1
20,PEPE,13,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,ETH,0,0x6982508145454Ce325dDbE47a25d4ec3d2311933,2
21,USDC,0,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,LYXE,100324,0xA8b919680258d369114910511cc87595aec0be6D,1
22,RAIL,0,,ETH,0,,0
23,HRP,0,,ETH,0,,0
24,SILO,0,,USDC,0,,0
25,LINK,2304,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,0,0x514910771AF9Ca656af840dff83E8264EcF986CA,1
26,WBTC,3661,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,ETH,11983,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,3
27,WBTC,1,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,0,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,1
28,0X0,25,0x5a3e6A77ba2f983eC0d371ea3B475F8Bc0811AD5,ETH,316,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,2
29,SMT,15079,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,ETH,0,0xB17548c7B510427baAc4e267BEa62e800b247173,1
30,USDC,0,,0xA9E8aCf069C58aEc8825542845Fd754e41a9489A,0,,0
31,USDC,0,,JAY,0,,0
32,0xbae9992488AE7f7c1EDB34Ed74c213B28d928991,0,,ETH,0,,0
33,WSB,0,,ETH,0,,0
34,0x178c820f862B14f316509ec36b13123DA19A6054,0,,ETH,0,,0
35,USDC,1,0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,8297,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,2
36,0x9DB0FB0Aebe6A925B7838D16e3993A3976A64AaB,0,,ETH,0,,0
37,STETH,0,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,WETH,1826,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1
38,ETH2X-FLI,0,0xAa6E8127831c9DE45ae56bB1b0d4D4Da6e5665BD,ETH,730,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,1
39,ERSDL,0,0x5218E472cFCFE0b64A064F055B43b4cdC9EfD3A6,ETH,379,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,1
